genome_id,size,assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,path,genome_file,superkingdom,phylum,class,order,family,genus,species
GCF_020683165.1_ASM2068316v1,1486587,GCF_020683165.1,PRJNA224116,SAMN07141767,NA,na,280,280,Xanthobacter autotrophicus,strain=GJ10,NA,latest,Chromosome,Major,Full,31-10-21,ASM2068316v1,Harvard Medical School,GCA_020683165.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/683/165/GCF_020683165.1_ASM2068316v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_020683165.1_ASM2068316v1_genomic.fna.gz,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Xanthobacter,Xanthobacter autotrophicus
GCF_000006765.1_ASM676v1,1787220,GCF_000006765.1,PRJNA57945,SAMN02603714,NA,reference genome,208964,287,Pseudomonas aeruginosa PAO1,strain=PAO1,NA,latest,Complete Genome,Major,Full,07-07-06,ASM676v1,PathoGenesis Corporation,GCA_000006765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000006765.1_ASM676v1_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa
GCF_000012445.1_ASM1244v1,1879939,GCF_000012445.1,PRJNA224116,SAMN02598267,NA,na,205922,294,Pseudomonas fluorescens Pf0-1,strain=Pf0-1,NA,latest,Complete Genome,Major,Full,15-07-09,ASM1244v1,DOE Joint Genome Institute,GCA_000012445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/445/GCF_000012445.1_ASM1244v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000012445.1_ASM1244v1_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens
GCF_000967935.1_ASM96793v1,1970688,GCF_000967935.1,PRJNA224116,SAMN03381180,LACF00000000.1,na,298,298,Pseudomonas marginalis,strain=H21,NA,latest,Scaffold,Major,Full,01-04-15,ASM96793v1,University of Copenhagen,GCA_000967935.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/935/GCF_000967935.1_ASM96793v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000967935.1_ASM96793v1_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas marginalis
GCF_000007565.2_ASM756v2,1802208,GCF_000007565.2,PRJNA224116,SAMN02603999,NA,na,160488,303,Pseudomonas putida KT2440,strain=KT2440,NA,latest,Complete Genome,Major,Full,26-02-16,ASM756v2,TIGR,GCA_000007565.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000007565.2_ASM756v2_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida
GCF_000009125.1_ASM912v1,1651605,GCF_000009125.1,PRJNA224116,SAMEA3138192,NA,na,267608,305,Ralstonia solanacearum GMI1000,strain=GMI1000,NA,latest,Complete Genome,Major,Full,06-05-03,ASM912v1,Genoscope,GCA_000009125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/125/GCF_000009125.1_ASM912v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000009125.1_ASM912v1_genomic.fna.gz,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum
GCF_000013785.1_ASM1378v1,1322103,GCF_000013785.1,PRJNA224116,SAMN02603910,NA,na,379731,316,Pseudomonas stutzeri A1501,strain=A1501,NA,latest,Complete Genome,Major,Full,20-04-07,ASM1378v1,"The Biotechnology Research Institute,The Chinese Academy of Agricultural Sciences",GCA_000013785.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/785/GCF_000013785.1_ASM1378v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000013785.1_ASM1378v1_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,Stutzerimonas stutzeri
GCF_000012245.1_ASM1224v1,1785962,GCF_000012245.1,PRJNA224116,SAMN02604347,NA,na,205918,317,Pseudomonas syringae pv. syringae B728a,strain=B728a,NA,latest,Complete Genome,Major,Full,12-05-05,ASM1224v1,DOE Joint Genome Institute,GCA_000012245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/245/GCF_000012245.1_ASM1224v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000012245.1_ASM1224v1_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae
GCF_000007145.1_ASM714v1,1459618,GCF_000007145.1,PRJNA224116,SAMN02603845,NA,na,190485,339,Xanthomonas campestris pv. campestris str. ATCC 33913,strain=ATCC 33913,NA,latest,Complete Genome,Major,Full,24-05-02,ASM714v1,Sao Paulo state (Brazil) Consortium,GCA_000007145.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/145/GCF_000007145.1_ASM714v1,NA,assembly from type material,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000007145.1_ASM714v1_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris
GCF_000007165.1_ASM716v1,1518388,GCF_000007165.1,PRJNA224116,SAMN02603846,NA,na,190486,346,Xanthomonas citri pv. citri str. 306,strain=306,NA,latest,Complete Genome,Major,Full,29-05-02,ASM716v1,Sao Paulo state (Brazil) Consortium,GCA_000007165.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/165/GCF_000007165.1_ASM716v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000007165.1_ASM716v1_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas citri
GCF_000016265.1_ASM1626v1,2135526,GCF_000016265.1,PRJNA224116,SAMN02602977,NA,na,311403,358,Agrobacterium radiobacter K84,strain=K84,ATCC BAA-868,latest,Complete Genome,Major,Full,27-01-09,ASM1626v1,Agrobacterium consortium,GCA_000016265.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/265/GCF_000016265.1_ASM1626v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000016265.1_ASM1626v1_genomic.fna.gz,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens
GCF_002288485.1_ASM228848v1,2067317,GCF_002288485.1,PRJNA224116,SAMN07445561,NA,na,1128334,380,Sinorhizobium fredii CCBAU 83666,strain=CCBAU 83666,NA,latest,Complete Genome,Major,Full,08-09-17,ASM228848v1,China Agricultural University,GCA_002288485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/288/485/GCF_002288485.1_ASM228848v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_002288485.1_ASM228848v1_genomic.fna.gz,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium fredii
GCF_001676765.1_ASM167676v1,2169304,GCF_001676765.1,PRJNA224116,SAMN05217717,NA,na,935546,381,Mesorhizobium loti NZP2037,strain=NZP2037,NA,latest,Complete Genome,Major,Full,27-06-16,ASM167676v1,Curtin University,GCA_001676765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/676/765/GCF_001676765.1_ASM167676v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_001676765.1_ASM167676v1_genomic.fna.gz,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium loti
GCF_000006965.1_ASM696v1,1956451,GCF_000006965.1,PRJNA224116,SAMEA3283068,NA,na,266834,382,Sinorhizobium meliloti 1021,strain=1021,NA,latest,Complete Genome,Major,Full,06-05-03,ASM696v1,MELILO,GCA_000006965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/965/GCF_000006965.1_ASM696v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000006965.1_ASM696v1_genomic.fna.gz,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti
GCF_000009265.1_ASM926v1,2264945,GCF_000009265.1,PRJNA224116,SAMEA1705944,NA,na,216596,384,Rhizobium leguminosarum bv. viciae 3841,strain=3841,NA,latest,Complete Genome,Major,Full,20-09-06,ASM926v1,Sanger Institute,GCA_000009265.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/265/GCF_000009265.1_ASM926v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000009265.1_ASM926v1_genomic.fna.gz,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium leguminosarum
GCF_000731295.1_RG1141_Ch_pA_pB,1872326,GCF_000731295.1,PRJNA224116,SAMEA3139072,NA,na,1028801,399,Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141,strain=HAMBI 1141,NA,latest,Complete Genome,Major,Full,25-06-14,RG1141_Ch_pA_pB,UH,GCA_000731295.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/731/295/GCF_000731295.1_RG1141_Ch_pA_pB,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000731295.1_RG1141_Ch_pA_pB_genomic.fna.gz,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Neorhizobium,Neorhizobium galegae
GCF_000018845.1_ASM1884v1,1561415,GCF_000018845.1,PRJNA224116,SAMN00000030,NA,na,419610,408,Methylorubrum extorquens PA1,strain=PA1,NA,latest,Complete Genome,Major,Full,20-12-07,ASM1884v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000018845.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/845/GCF_000018845.1_ASM1884v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000018845.1_ASM1884v1_genomic.fna.gz,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum,Methylorubrum extorquens
GCF_000018445.1_ASM1844v1,1184637,GCF_000018445.1,PRJNA224116,SAMN02603140,NA,na,405416,470,Acinetobacter baumannii ACICU,strain=ACICU,NA,latest,Complete Genome,Major,Full,15-04-08,ASM1844v1,CNR - National Research Council,GCA_000018445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/445/GCF_000018445.1_ASM1844v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000018445.1_ASM1844v1_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
GCF_000006845.1_ASM684v1,624949,GCF_000006845.1,PRJNA224116,SAMN02604088,NA,na,242231,485,Neisseria gonorrhoeae FA 1090,strain=FA 1090,NA,latest,Complete Genome,Major,Full,14-02-05,ASM684v1,Univ. Oklahoma,GCA_000006845.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/845/GCF_000006845.1_ASM684v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000006845.1_ASM684v1_genomic.fna.gz,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae
GCF_000007105.1_ASM710v1,607386,GCF_000007105.1,PRJNA224116,SAMN02603579,NA,representative genome,264203,542,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,strain=ZM4,NA,latest,Complete Genome,Major,Full,12-01-10,ASM710v1,Macrogen Inc.,GCA_000007105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/105/GCF_000007105.1_ASM710v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000007105.1_ASM710v1_genomic.fna.gz,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Zymomonadaceae,Zymomonas,Zymomonas mobilis
GCF_000005845.2_ASM584v2,1379902,GCF_000005845.2,PRJNA57779,SAMN02604091,NA,reference genome,511145,562,Escherichia coli str. K-12 substr. MG1655,strain=K-12 substr. MG1655,NA,latest,Complete Genome,Major,Full,26-09-13,ASM584v2,Univ. Wisconsin,GCA_000005845.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000005845.2_ASM584v2_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_000009885.1_ASM988v1,1615856,GCF_000009885.1,PRJNA224116,SAMD00060934,NA,na,484021,573,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,strain=NTUH-K2044,NA,latest,Complete Genome,Major,Full,05-01-05,ASM988v1,National Health Research Institutes,GCA_000009885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/885/GCF_000009885.1_ASM988v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000009885.1_ASM988v1_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
GCF_000336425.1_ASM33642v1,1534388,GCF_000336425.1,PRJNA224116,SAMN02602965,NA,na,435998,615,Serratia marcescens WW4,strain=WW4,NA,latest,Complete Genome,Major,Full,04-02-13,ASM33642v1,Academia Sinica,GCA_000336425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/336/425/GCF_000336425.1_ASM33642v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000336425.1_ASM33642v1_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
GCF_000006925.2_ASM692v2,1423732,GCF_000006925.2,PRJNA62907,SAMN02603599,NA,reference genome,198214,623,Shigella flexneri 2a str. 301,strain=301,NA,latest,Complete Genome,Major,Full,03-08-11,ASM692v2,Microbial Genome Center of ChMPH,GCA_000006925.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/925/GCF_000006925.2_ASM692v2,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000006925.2_ASM692v2_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri
GCF_000009345.1_ASM934v1,1394767,GCF_000009345.1,PRJNA224116,SAMEA1705958,NA,na,393305,630,Yersinia enterocolitica subsp. enterocolitica 8081,strain=8081,NA,latest,Complete Genome,Major,Full,12-01-07,ASM934v1,Sanger Institute,GCA_000009345.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/345/GCF_000009345.1_ASM934v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000009345.1_ASM934v1_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica
